dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
uwf,source_ip,within_family_source_ip,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.0394,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9984544049459042,56843,646,57489
uwf,source_ip,within_family_source_ip,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.4412,{},attack_family_challenge,attack_family,Initial Access,323,0.9877675840978594,0.9960069647406747,56843,646,57489
uwf,source_ip,within_family_source_ip,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.3726, ""delayed_collector"": 0.2648, ""high_background"": 0.549, ""low_sampling"": 0.2746, ""observed"": 0.2648}",attack_family_challenge,attack_family,Initial Access,323,0.989333722969024,0.9962405368409419,56843,646,57489
uwf,source_ip,within_family_source_ip,gb_full,gb_full,sklearn_boosting,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,single_validation_observed,0.745,{},attack_family_challenge,attack_family,Initial Access,323,1.0,1.0,56843,646,57489
uwf,source_ip,within_family_source_ip,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,single_validation_minimax,0.745,{},attack_family_challenge,attack_family,Initial Access,323,1.0,1.0,56843,646,57489
uwf,source_ip,within_family_source_ip,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",attack_family_challenge,attack_family,Initial Access,323,0.9965690926344989,0.9967106549288781,56843,646,57489
uwf,source_ip,within_family_source_ip,xgb_full,xgb_full,xgboost,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.7156,{},attack_family_challenge,attack_family,Initial Access,323,1.0,1.0,56843,646,57489
uwf,source_ip,within_family_source_ip,xgb_full__val_robust_minimax,xgb_full,xgboost,full,val_robust_minimax,single_validation_minimax,0.5686,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9993817619783616,56843,646,57489
uwf,source_ip,within_family_source_ip,xgb_full__oracle_env_upper_bound,xgb_full,xgboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.019799999999999998, ""delayed_collector"": 0.01, ""high_background"": 0.0492, ""low_sampling"": 0.01, ""observed"": 0.01}",attack_family_challenge,attack_family,Initial Access,323,0.9959845221581368,0.9964179649009054,56843,646,57489
uwf,source_ip,within_family_source_ip,lgbm_full,lgbm_full,lightgbm,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,lgbm_full__val_observed_f1,lgbm_full,lightgbm,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9984544049459042,56843,646,57489
uwf,source_ip,within_family_source_ip,lgbm_full__val_robust_minimax,lgbm_full,lightgbm,full,val_robust_minimax,single_validation_minimax,0.9116,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9990726429675425,56843,646,57489
uwf,source_ip,within_family_source_ip,lgbm_full__oracle_env_upper_bound,lgbm_full,lightgbm,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.647, ""low_sampling"": 0.01, ""observed"": 0.01}",attack_family_challenge,attack_family,Initial Access,323,0.9943373199902368,0.9953574998260433,56843,646,57489
uwf,source_ip,within_family_source_ip,cat_full,cat_full,catboost,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,cat_full__val_observed_f1,cat_full,catboost,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9984544049459042,56843,646,57489
uwf,source_ip,within_family_source_ip,cat_full__val_robust_minimax,cat_full,catboost,full,val_robust_minimax,single_validation_minimax,0.1766,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9984544049459043,56843,646,57489
uwf,source_ip,within_family_source_ip,cat_full__oracle_env_upper_bound,cat_full,catboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.0394, ""delayed_collector"": 0.01, ""high_background"": 0.0394, ""low_sampling"": 0.01, ""observed"": 0.01}",attack_family_challenge,attack_family,Initial Access,323,0.9969894143925415,0.9977753638234326,56843,646,57489
uwf,source_ip,within_family_source_ip,iforest_env_sensitive,iforest_env_sensitive,sklearn_anomaly,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.4118,{},attack_family_challenge,attack_family,Initial Access,323,0.930835734870317,0.930835734870317,56843,646,57489
uwf,source_ip,within_family_source_ip,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.3824,{},attack_family_challenge,attack_family,Initial Access,323,0.758703481392557,0.8300500146645776,56843,646,57489
uwf,source_ip,within_family_source_ip,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.6372, ""delayed_collector"": 0.6372, ""high_background"": 0.6567999999999999, ""low_sampling"": 0.3922, ""observed"": 0.6176}",attack_family_challenge,attack_family,Initial Access,323,0.9414587332053743,0.9479179012591835,56843,646,57489
uwf,source_ip,within_family_source_ip,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.1276,{},attack_family_challenge,attack_family,Initial Access,323,0.8873239436619719,0.8873239436619719,56843,646,57489
uwf,source_ip,within_family_source_ip,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.019799999999999998,{},attack_family_challenge,attack_family,Initial Access,323,0.6659772492244054,0.6731173473012214,56843,646,57489
